sample_id,sample_role,condition,spectrum_file,relative_path,filter_label,filter_nm,bin_start_nm,bin_end_nm,bin_center_nm,mean_intensity_10nm,median_intensity_10nm,std_intensity_10nm,points_in_bin
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,440.0,450.0,445.101783,332.483913,333.03,33.970929,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,450.0,460.0,455.160348,322.839565,320.43,35.15822,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,460.0,470.0,465.193435,323.606522,330.51,29.407279,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,470.0,480.0,475.201,338.182174,330.51,31.009071,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,480.0,490.0,485.182913,322.948261,322.95,31.472946,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,490.0,500.0,495.139043,321.305217,322.95,30.022641,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,500.0,510.0,505.069348,326.236522,330.51,35.957559,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,510.0,520.0,514.973652,339.935652,345.63,31.430258,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,520.0,530.0,525.066167,362.9625,372.1,38.675121,24.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,530.0,540.0,535.131478,410.511304,416.21,40.761471,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,540.0,550.0,544.956,436.265217,438.9,40.571959,23.0
