sample_id,sample_role,condition,image_file,relative_path,filter_label,filter_nm,width_px,height_px,file_size_bytes,mask_method,mask_pixels,mask_area_fraction,matched_spectrum_file,spectrometer_window_median_at_filter,current_white_reference_value_mean,current_white_reference_value_median,current_dark_reference_value_mean,current_dark_reference_value_median,current_white_normalized_value_mean,current_white_normalized_value_median,current_dark_white_reflectance_mean,mask_bbox_x,mask_bbox_y,mask_bbox_width,mask_bbox_height,mask_centroid_x,mask_centroid_y,r_0_1_mean,r_0_1_median,r_0_1_std,r_0_1_p05,r_0_1_p25,r_0_1_p75,r_0_1_p95,r_0_1_min,r_0_1_max,g_0_1_mean,g_0_1_median,g_0_1_std,g_0_1_p05,g_0_1_p25,g_0_1_p75,g_0_1_p95,g_0_1_min,g_0_1_max,b_0_1_mean,b_0_1_median,b_0_1_std,b_0_1_p05,b_0_1_p25,b_0_1_p75,b_0_1_p95,b_0_1_min,b_0_1_max,r_0_255_mean,r_0_255_median,r_0_255_std,r_0_255_p05,r_0_255_p25,r_0_255_p75,r_0_255_p95,r_0_255_min,r_0_255_max,g_0_255_mean,g_0_255_median,g_0_255_std,g_0_255_p05,g_0_255_p25,g_0_255_p75,g_0_255_p95,g_0_255_min,g_0_255_max,b_0_255_mean,b_0_255_median,b_0_255_std,b_0_255_p05,b_0_255_p25,b_0_255_p75,b_0_255_p95,b_0_255_min,b_0_255_max,value_0_1_mean,value_0_1_median,value_0_1_std,value_0_1_p05,value_0_1_p25,value_0_1_p75,value_0_1_p95,value_0_1_min,value_0_1_max,value_0_255_mean,value_0_255_median,value_0_255_std,value_0_255_p05,value_0_255_p25,value_0_255_p75,value_0_255_p95,value_0_255_min,value_0_255_max,luminance_0_1_mean,luminance_0_1_median,luminance_0_1_std,luminance_0_1_p05,luminance_0_1_p25,luminance_0_1_p75,luminance_0_1_p95,luminance_0_1_min,luminance_0_1_max,saturation_mean,saturation_median,saturation_std,saturation_p05,saturation_p25,saturation_p75,saturation_p95,saturation_min,saturation_max,gcc_mean,gcc_median,gcc_std,gcc_p05,gcc_p25,gcc_p75,gcc_p95,gcc_min,gcc_max,exg_mean,exg_median,exg_std,exg_p05,exg_p25,exg_p75,exg_p95,exg_min,exg_max,vari_mean,vari_median,vari_std,vari_p05,vari_p25,vari_p75,vari_p95,vari_min,vari_max,red_green_ratio_mean,red_green_ratio_median,red_green_ratio_std,red_green_ratio_p05,red_green_ratio_p25,red_green_ratio_p75,red_green_ratio_p95,red_green_ratio_min,red_green_ratio_max,blue_green_ratio_mean,blue_green_ratio_median,blue_green_ratio_std,blue_green_ratio_p05,blue_green_ratio_p25,blue_green_ratio_p75,blue_green_ratio_p95,blue_green_ratio_min,blue_green_ratio_max,reference_kind
in cutie\Referinta alba,white_reference,white_reference,532.jpg,in cutie\Referinta alba\camera\532.jpg,532,532,1920,1080,499655,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba 532.txt,641.96,0.589234,0.552941,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.523017,0.458824,0.226405,0.247059,0.345098,0.701961,0.976471,0.0,1.0,0.512337,0.505882,0.130662,0.298039,0.419608,0.619608,0.713726,0.0,0.862745,0.458489,0.411765,0.185045,0.223529,0.313726,0.592157,0.819608,0.0,1.0,133.369414,117.0,57.733375,63.0,88.0,179.0,249.0,0.0,255.0,130.645864,129.0,33.318692,76.0,107.0,158.0,182.0,0.0,220.0,116.914697,105.0,47.186556,57.0,80.0,151.0,209.0,0.0,255.0,0.589234,0.552941,0.195924,0.317647,0.435294,0.72549,0.976471,0.027451,1.0,150.25456,141.0,49.960704,81.0,111.0,185.0,249.0,7.0,255.0,0.51072,0.495354,0.142062,0.295765,0.402271,0.629701,0.738657,0.005836,0.887529,0.275967,0.287554,0.11018,0.098361,0.18617,0.357798,0.438679,0.0,1.0,0.356376,0.350649,0.065608,0.256167,0.306163,0.418006,0.450382,0.0,0.683544,0.043167,0.062745,0.296392,-0.494118,-0.133333,0.309804,0.423529,-0.654902,0.584314,-8.31919,0.014388,11261.100297,-0.462963,-0.195531,0.27044,0.380531,-7843137.5,8627452.0,1582.244692,0.983871,127373.347227,0.621053,0.715909,1.238095,1.604167,0.0,15686275.0,488.817019,0.857143,48794.250182,0.581395,0.68323,1.046512,1.304054,0.0,12156863.0,white
in cutie\Referinta alba,white_reference,white_reference,556.jpg,in cutie\Referinta alba\camera\556.jpg,556,556,1920,1080,544979,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba  556.txt,700.56,0.513803,0.517647,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.425217,0.407843,0.138866,0.215686,0.313726,0.54902,0.647059,0.0,0.866667,0.447166,0.431373,0.111523,0.290196,0.364706,0.521569,0.65098,0.0,0.858824,0.362096,0.364706,0.103894,0.192157,0.282353,0.443137,0.52549,0.0,0.87451,108.430278,104.0,35.410724,55.0,80.0,140.0,165.0,0.0,221.0,114.027255,110.0,28.438364,74.0,93.0,133.0,166.0,0.0,219.0,92.334379,93.0,26.493044,49.0,72.0,113.0,134.0,0.0,223.0,0.513803,0.517647,0.106783,0.341176,0.427451,0.6,0.67451,0.090196,0.87451,131.019727,132.0,27.229543,87.0,109.0,153.0,172.0,23.0,223.0,0.436357,0.427886,0.08901,0.298269,0.375411,0.498013,0.589927,0.023706,0.761966,0.344467,0.369369,0.135102,0.133333,0.221429,0.453846,0.536364,0.0,1.0,0.371305,0.361564,0.088273,0.232759,0.304348,0.455927,0.496528,0.0,1.0,0.107019,0.105882,0.312258,-0.427451,-0.109804,0.388235,0.552941,-0.627451,0.713726,-1.293988,0.032895,2510.769034,-0.603448,-0.208333,0.366667,0.489796,-3529412.0,784313.6875,24.653947,0.961905,17613.304613,0.516667,0.614754,1.256881,1.865169,0.0,16078432.0,13.143286,0.805195,8887.337552,0.47619,0.585366,1.036697,1.43617,0.0,7058824.0,white
in cutie\Referinta alba,white_reference,white_reference,680.jpg,in cutie\Referinta alba\camera\680.jpg,680,680,1920,1080,460768,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba  680.txt,794.45,0.603466,0.603922,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.603466,0.603922,0.187273,0.227451,0.521569,0.74902,0.866667,0.035294,1.0,0.271161,0.247059,0.127188,0.066667,0.180392,0.384314,0.470588,0.0,0.607843,0.195272,0.168627,0.108252,0.035294,0.113725,0.290196,0.380392,0.0,0.694118,153.883854,154.0,47.754488,58.0,133.0,191.0,221.0,9.0,255.0,69.146168,63.0,32.432998,17.0,46.0,98.0,120.0,0.0,155.0,49.794426,43.0,27.604335,9.0,29.0,74.0,97.0,0.0,177.0,0.603466,0.603922,0.187272,0.227451,0.521569,0.74902,0.866667,0.035294,1.0,153.883879,154.0,47.754436,58.0,133.0,191.0,221.0,9.0,255.0,0.33633,0.315775,0.136446,0.109536,0.248268,0.45539,0.545157,0.007504,0.68442,0.69521,0.7,0.120381,0.509434,0.60396,0.77439,0.897436,0.126761,1.0,0.240702,0.251515,0.046081,0.161538,0.225641,0.270732,0.282555,0.0,0.415584,-0.256415,-0.270588,0.060182,-0.32549,-0.294118,-0.239216,-0.098039,-0.439216,0.07451,-0.515628,-0.495238,0.117726,-0.72549,-0.569697,-0.428571,-0.387387,-3.666664,-0.036364,107268.362561,2.307692,1058226.971508,1.758929,1.926316,2.780488,4.578947,1.0625,33725492.0,2315.319667,0.705882,45292.789531,0.4,0.6,0.815789,0.933333,0.0,8235294.5,white
in cutie\Referinta alba,white_reference,white_reference,725.jpg,in cutie\Referinta alba\camera\725.jpg,725,725,1920,1080,447260,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba 725.txt,719.31,0.554807,0.576471,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.552884,0.572549,0.208927,0.145098,0.454902,0.717647,0.831373,0.0,0.968627,0.395989,0.415686,0.170932,0.062745,0.298039,0.533333,0.627451,0.0,0.760784,0.364211,0.376471,0.158058,0.054902,0.258824,0.501961,0.568627,0.0,0.835294,140.985422,146.0,53.276371,37.0,116.0,183.0,212.0,0.0,247.0,100.977079,106.0,43.587552,16.0,76.0,136.0,160.0,0.0,194.0,92.873873,96.0,40.304842,14.0,66.0,128.0,145.0,0.0,213.0,0.554807,0.576471,0.207745,0.145098,0.458824,0.721569,0.831373,0.0,0.968627,141.475886,147.0,52.974928,37.0,117.0,184.0,212.0,0.0,247.0,0.42705,0.446981,0.176453,0.080721,0.331305,0.569722,0.664591,0.0,0.798192,0.393769,0.373272,0.172822,0.166667,0.276596,0.456376,0.741379,0.0,1.0,0.288303,0.300654,0.048784,0.225,0.289037,0.308534,0.316929,0.0,0.999999,-0.125118,-0.12549,0.034912,-0.180392,-0.14902,-0.101961,-0.062745,-0.321569,0.054902,-669.824505,-0.269231,40204.054978,-0.575,-0.325926,-0.227273,-0.157895,-5490196.5,1568627.375,66024.620944,1.4,572018.928228,1.158333,1.315436,1.529412,2.466666,0.0,15294118.0,9116.268006,0.9,158615.644626,0.641791,0.81203,1.019608,1.291667,0.0,10588235.0,white
in cutie\Referinta alba,white_reference,white_reference,850.jpg,in cutie\Referinta alba\camera\850.jpg,850,850,1920,1080,404280,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba 850.txt,459.53,0.483964,0.501961,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.466359,0.478431,0.190641,0.086275,0.345098,0.627451,0.72549,0.0,0.835294,0.455195,0.470588,0.196318,0.078431,0.321569,0.623529,0.721569,0.0,0.835294,0.469246,0.498039,0.216434,0.058824,0.321569,0.647059,0.756863,0.0,0.882353,118.921551,122.0,48.613463,22.0,88.0,160.0,185.0,0.0,213.0,116.07477,120.0,50.061186,20.0,82.0,159.0,184.0,0.0,213.0,119.657735,127.0,55.190628,15.0,82.0,165.0,193.0,0.0,225.0,0.483964,0.501961,0.199611,0.090196,0.352941,0.647059,0.756863,0.0,0.882353,123.410938,128.0,50.900712,23.0,90.0,165.0,193.0,0.0,225.0,0.458583,0.473105,0.196359,0.079517,0.324667,0.626062,0.725789,0.0,0.838126,0.119185,0.064,0.151954,0.018293,0.041667,0.107143,0.415584,0.0,1.0,0.329329,0.327217,0.03294,0.316514,0.323864,0.330509,0.35503,0.0,1.0,-0.025215,-0.027451,0.02524,-0.058824,-0.039216,-0.011765,0.023529,-0.176471,0.129412,34.383803,-0.014184,8966.207456,-0.166667,-0.047619,0.0,0.02963,-784313.75,3529412.25,2431.217887,1.013699,54082.460199,0.971698,1.0,1.049505,1.237288,0.0,4313725.5,882.659948,1.03937,25112.854109,0.69697,1.0,1.064516,1.103448,0.0,5098039.5,white
in cutie\Referinta alba,white_reference,white_reference,940.jpg,in cutie\Referinta alba\camera\940.jpg,940,940,1920,1080,481548,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\refirinta alba 940.txt,338.23,0.513442,0.494118,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.499871,0.482353,0.149063,0.258824,0.403922,0.635294,0.72549,0.0,0.870588,0.493453,0.47451,0.151237,0.25098,0.396078,0.631373,0.721569,0.0,0.854902,0.502775,0.490196,0.161451,0.223529,0.403922,0.647059,0.737255,0.0,0.862745,127.467169,123.0,38.011006,66.0,103.0,162.0,185.0,0.0,222.0,125.830527,121.0,38.565444,64.0,101.0,161.0,184.0,0.0,218.0,128.207533,125.0,41.170064,57.0,103.0,165.0,188.0,0.0,220.0,0.513442,0.494118,0.151284,0.266667,0.415686,0.65098,0.737255,0.003922,0.870588,130.927808,126.0,38.577368,68.0,106.0,166.0,188.0,1.0,222.0,0.495491,0.475889,0.151284,0.251279,0.397159,0.633323,0.722135,0.000566,0.857954,0.06799,0.048276,0.071935,0.011765,0.030457,0.076336,0.20339,0.0,1.0,0.330562,0.32965,0.010115,0.319865,0.326154,0.333333,0.344595,0.0,0.999999,-0.01574,-0.019608,0.025783,-0.054902,-0.031373,0.0,0.031373,-0.184314,0.156863,12.226543,-0.010526,8041.08761,-0.086207,-0.032258,0.005618,0.042373,-3529411.5,4705882.5,22.010409,1.010204,7812.599071,0.96,0.994506,1.032787,1.098901,0.0,6274510.0,11.410963,1.026882,5847.186979,0.857143,1.0,1.048387,1.087379,0.0,5098039.5,white
in cutie\Referinta alba,white_reference,white_reference,fara.jpg,in cutie\Referinta alba\camera\fara.jpg,fara,,1920,1080,137219,full_frame_reference,2073600,1.0,in cutie\Referinta alba\spectru\referinta alba fara filtru.txt,,,,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.563088,0.588235,0.228297,0.019608,0.490196,0.717647,0.870588,0.0,0.968627,0.45842,0.466667,0.198091,0.003922,0.392157,0.596078,0.745098,0.0,0.835294,0.477221,0.490196,0.197529,0.007843,0.419608,0.611765,0.752941,0.0,0.847059,143.587495,150.0,58.215839,5.0,125.0,183.0,222.0,0.0,247.0,116.897218,119.0,50.51319,1.0,100.0,152.0,190.0,0.0,213.0,121.6913,125.0,50.369981,2.0,107.0,156.0,192.0,0.0,216.0,0.563389,0.592157,0.228004,0.019608,0.490196,0.717647,0.870588,0.0,0.968627,143.66409,151.0,58.141062,5.0,125.0,183.0,222.0,0.0,247.0,0.48203,0.495081,0.20433,0.006135,0.413598,0.624744,0.771191,0.0,0.859153,0.249272,0.195652,0.197881,0.144928,0.166667,0.21831,0.857143,0.0,1.0,0.284687,0.30343,0.070068,0.090909,0.298429,0.310448,0.315476,0.0,0.999999,-0.123468,-0.133333,0.039873,-0.164706,-0.145098,-0.113726,-0.019608,-0.270588,0.023529,-1316.043103,-0.20339,36598.668808,-0.999999,-0.228571,-0.167539,-0.142857,-2745098.25,1960784.25,53908.87481,1.242105,317410.875604,1.166667,1.196319,1.277311,4.999988,0.0,5882353.0,22630.066588,1.046296,161247.138666,0.988764,1.016304,1.081081,1.999995,0.0,12156863.0,white
in cutie\Refirinta neagra,dark_reference,dark_reference,fara.jpg,in cutie\Refirinta neagra\fara.jpg,fara,,1920,1080,471222,full_frame_reference,2073600,1.0,,,,,0.501995,0.52549,,,,0,0,1920,1080,959.5,539.5,0.500651,0.52549,0.241819,0.145098,0.258824,0.709804,0.854902,0.0,1.0,0.44002,0.458824,0.227545,0.109804,0.211765,0.639216,0.780392,0.0,0.996078,0.455686,0.47451,0.225535,0.12549,0.235294,0.65098,0.792157,0.0,1.0,127.666082,134.0,61.663915,37.0,66.0,181.0,218.0,0.0,255.0,112.205073,117.0,58.024022,28.0,54.0,163.0,199.0,0.0,254.0,116.199925,121.0,57.51131,32.0,60.0,166.0,202.0,0.0,255.0,0.501995,0.52549,0.240261,0.14902,0.258824,0.709804,0.854902,0.0,1.0,128.008729,134.0,61.266559,38.0,66.0,181.0,218.0,0.0,255.0,0.454041,0.47275,0.230245,0.120071,0.22265,0.65396,0.79648,0.0,0.99578,0.156584,0.12766,0.093287,0.072626,0.098655,0.1875,0.324324,0.0,1.0,0.309751,0.315488,0.022166,0.274854,0.304348,0.320819,0.327198,0.0,1.0,-0.076297,-0.078431,0.03306,-0.12549,-0.098039,-0.054902,-0.019608,-0.270588,0.156863,-177.237639,-0.122581,25832.02672,-0.34375,-0.183333,-0.094527,-0.06,-6666667.0,7450980.5,2138.222248,1.134752,84121.836779,1.0625,1.102273,1.207792,1.421052,0.0,9019608.0,1415.860537,1.032787,64871.986489,0.948276,1.005319,1.084112,1.270833,0.0,12156863.0,dark
