relative_path,file,environment,role,filter_nm_from_name,points,wavelength_min,wavelength_max,intensity_min,intensity_max,intensity_mean,peak_wavelength_nm,peak_intensity,i_532,i_556,i_680,i_725,i_850,i_940
in cutie\Referinta alba\spectru\refirinta alba 940.txt,refirinta alba 940.txt,in cutie,white_reference,940,2048,187.546,1034.421,-133.12,1074.24,306.176,893.141,1074.24,358.697,297.662,296.24,311.142,301.915,337.703
in cutie\Refirinta neagra\referinta gri.txt,referinta gri.txt,in cutie,dark_reference,,2048,187.546,1034.421,-169.51,1098.34,347.393,893.141,1098.34,379.571,430.887,411.762,379.403,357.145,306.658
in cutie\Refirinta neagra\referinta neagra fara .txt,referinta neagra fara .txt,in cutie,dark_reference,none,2048,187.546,1034.421,-151.86,1143.71,327.826,893.141,1143.71,397.322,413.193,340.879,333.73,340.187,291.159
in cutie\Set frunze 1\frunza nesanatoasa\spectru\532.txt,532.txt,in cutie,healthy_leaf,532,2048,187.546,1034.421,-153.91,1144.18,307.845,893.141,1144.18,373.697,384.387,323.525,335.199,311.195,288.92
in cutie\Set frunze 1\frunza nesanatoasa\spectru\556.txt,556.txt,in cutie,healthy_leaf,556,2048,187.546,1034.421,-166.2,1144.5,316.67,893.141,1144.5,403.35,388.567,326.263,317.75,275.572,323.095
in cutie\Set frunze 1\frunza nesanatoasa\spectru\680.txt,680.txt,in cutie,healthy_leaf,680,2048,187.546,1034.421,-182.27,1171.28,302.962,893.141,1171.28,307.427,358.318,346.62,338.61,316.263,334.903
in cutie\Set frunze 1\frunza nesanatoasa\spectru\725.txt,725.txt,in cutie,healthy_leaf,725,2048,187.546,1034.421,-205.43,1211.14,326.419,893.141,1211.14,321.57,264.189,331.704,584.327,343.668,274.16
in cutie\Set frunze 1\frunza nesanatoasa\spectru\850.txt,850.txt,in cutie,healthy_leaf,850,2048,187.546,1034.421,-161.47,1204.68,325.478,893.141,1204.68,336.991,280.052,344.638,311.988,463.388,346.741
in cutie\Set frunze 1\frunza nesanatoasa\spectru\950.txt,950.txt,in cutie,healthy_leaf,950,2048,187.546,1034.421,-132.8,1195.54,312.668,893.141,1195.54,314.356,291.148,305.534,283.327,323.183,299.085
in cutie\Set frunze 1\frunza nesanatoasa\spectru\fara filtru.txt,fara filtru.txt,in cutie,healthy_leaf,none,2048,187.546,1034.421,-163.21,1238.23,390.954,893.141,1238.23,373.073,443.828,326.218,631.722,478.606,353.057
in cutie\Set frunze 1\frunza verde\spectru\532.txt,532.txt,in cutie,healthy_leaf,532,2048,187.546,1034.421,-139.26,1133.63,309.784,893.141,1133.63,368.384,394.97,283.028,344.166,365.111,303.342
in cutie\Set frunze 1\frunza verde\spectru\556.txt,556.txt,in cutie,healthy_leaf,556,2048,187.546,1034.421,-143.99,1098.66,324.266,893.141,1098.66,392.997,449.215,330.066,346.173,355.259,337.519
in cutie\Set frunze 1\frunza verde\spectru\680.txt,680.txt,in cutie,healthy_leaf,680,2048,187.546,1034.421,-164.15,1154.11,297.05,893.141,1154.11,285.823,309.244,351.339,306.008,266.043,330.481
in cutie\Set frunze 1\frunza verde\spectru\725.txt,725.txt,in cutie,healthy_leaf,725,2048,187.546,1034.421,-153.28,1205.31,322.654,893.141,1205.31,318.167,288.058,302.358,533.025,278.557,337.06
in cutie\Set frunze 1\frunza verde\spectru\850.txt,850.txt,in cutie,healthy_leaf,850,2048,187.546,1034.421,-184.95,1153.48,326.007,893.141,1153.48,325.823,341.482,309.426,322.214,462.579,362.468
in cutie\Set frunze 1\frunza verde\spectru\940.txt,940.txt,in cutie,healthy_leaf,940,2048,187.546,1034.421,-166.99,1151.27,304.773,893.141,1151.27,320.187,335.843,330.699,326.335,322.397,304.887
in cutie\Set frunze 1\frunza verde\spectru\fara filtru.txt,fara filtru.txt,in cutie,healthy_leaf,none,2048,187.546,1034.421,-173.45,1243.12,395.92,893.141,1243.12,425.853,400.429,312.995,669.612,507.671,359.861
in cutie\Set frunze 2\nesanatoasa\spectru\532.txt,532.txt,in cutie,healthy_leaf,532,2048,187.546,1034.421,-148.08,1160.1,317.127,893.141,1160.1,410.571,442.098,318.38,292.901,356.446,316.606
in cutie\Set frunze 2\nesanatoasa\spectru\556.txt,556.txt,in cutie,healthy_leaf,556,2048,187.546,1034.421,-160.37,1208.3,313.717,893.141,1208.3,398.284,519.391,312.025,338.654,325.945,347.921
in cutie\Set frunze 2\nesanatoasa\spectru\580.txt,580.txt,in cutie,healthy_leaf,580,2048,187.546,1034.421,-152.65,1205.94,315.317,893.141,1205.94,311.439,353.483,325.551,316.463,460.198,282.129
in cutie\Set frunze 2\nesanatoasa\spectru\680.txt,680.txt,in cutie,healthy_leaf,680,2048,187.546,1034.421,-162.42,1150.8,318.534,893.141,1150.8,308.621,360.81,505.008,334.321,318.318,307.843
in cutie\Set frunze 2\nesanatoasa\spectru\725.txt,725.txt,in cutie,healthy_leaf,725,2048,187.546,1034.421,-162.26,1166.08,317.43,893.141,1166.08,288.414,308.668,279.024,560.363,276.557,326.392
in cutie\Set frunze 2\nesanatoasa\spectru\940.txt,940.txt,in cutie,healthy_leaf,940,2048,187.546,1034.421,-173.13,1233.35,302.04,893.141,1233.35,323.329,312.345,307.87,309.298,319.836,340.843
in cutie\Set frunze 2\nesanatoasa\spectru\fara filtru.txt,fara filtru.txt,in cutie,healthy_leaf,none,2048,187.546,1034.421,-140.99,1361.27,454.145,893.141,1361.27,475.434,526.538,645.766,672.775,495.477,369.552
in cutie\Set frunze 2\sanatoasa\spectru\532.txt,532.txt,in cutie,healthy_leaf,532,2048,187.546,1034.421,-168.09,1205.62,314.469,893.141,1205.62,354.568,302.87,338.204,331.978,338.414,317.141
in cutie\Set frunze 2\sanatoasa\spectru\556.txt,556.txt,in cutie,healthy_leaf,556,2048,187.546,1034.421,-172.97,1215.86,327.393,893.141,1215.86,353.12,410.329,285.188,336.061,328.209,336.823
in cutie\Set frunze 2\sanatoasa\spectru\680.txt,680.txt,in cutie,healthy_leaf,680,2048,187.546,1034.421,-151.71,1216.97,319.998,893.141,1216.97,297.357,303.416,267.173,374.092,305.845,319.598
in cutie\Set frunze 2\sanatoasa\spectru\725.txt,725.txt,in cutie,healthy_leaf,725,2048,187.546,1034.421,-143.04,1167.66,314.885,893.141,1167.66,335.451,342.457,319.511,550.239,330.022,344.031
in cutie\Set frunze 2\sanatoasa\spectru\850.txt,850.txt,in cutie,healthy_leaf,850,2048,187.546,1034.421,-152.34,1145.76,301.982,893.141,1145.76,308.026,301.423,317.873,303.89,425.659,272.665
in cutie\Set frunze 2\sanatoasa\spectru\940.txt,940.txt,in cutie,healthy_leaf,940,2048,187.546,1034.421,-174.71,1221.69,319.268,893.141,1221.69,325.077,317.361,346.714,349.929,327.282,339.078
in cutie\Set frunze 2\sanatoasa\spectru\fara filtru.txt,fara filtru.txt,in cutie,healthy_leaf,none,2048,187.546,1034.421,-210.94,1238.39,374.356,893.141,1238.39,377.664,353.356,291.115,538.836,486.341,345.463
in cutie\spectru sursa.txt,spectru sursa.txt,in cutie,source_light,,2048,187.546,1034.421,-123.51,46325.68,15181.33,611.727,46325.68,29360.098,34855.859,37786.771,31735.505,12649.169,2935.267
