wavelength_nm,raw_camera_value,white_reference_brightness,white_normalized_camera,source_curve_compensated_camera,source_curve_compensation_multiplier_vs_850,source_curve_reliability_weight,source_curve_relative_to_850,source_curve_status,spectrometer_target_reliability,spectrometer_target_reliability_reason,dark_reference_brightness,dark_white_reflectance_proxy,dark_white_correction_used,spectrometer_equivalent_raw_intensity_at_filter,spectrometer_equivalent_window_intensity,single_band_spectrometer_window_intensity,single_band_model_used,single_band_leave_one_leaf_out_rmse,best_spectrometer_window_intensity,best_spectrometer_model,spectrometer_equivalent_reflectance_at_filter,normalized_spectrometer_shape_estimate,median_abs_raw_intensity_error_after_factor,median_relative_raw_intensity_error_after_factor,dark_white_status
532,0.977463,0.777582,1.257055,0.530203,0.421782,1.0,2.370891,usable,normal,,0.699978,,False,166.547632,166.547632,166.547632,linear,29.840095,398.20179,multiband_ridge,,1.0,,,"paired leaf brightness is mostly below the dark reference, so subtracting this dark frame would create non-physical negative reflectance"
556,0.07396,0.413677,0.178787,0.063057,0.352692,1.0,2.835339,usable,normal,,0.699978,,False,502.505692,502.505692,502.505692,linear,30.926715,471.483804,multiband_ridge,,0.0,,,dark/white denominator is not positive enough for this filter (camera auto-exposure or missing per-filter dark frame)
680,0.175382,0.768138,0.22832,0.075253,0.329594,1.0,3.034038,usable,normal,,0.699978,,False,282.221279,282.221279,282.221279,linear,73.039606,6.697246,multiband_ridge,,0.037201,,,"paired leaf brightness is mostly below the dark reference, so subtracting this dark frame would create non-physical negative reflectance"
725,0.233318,0.654237,0.356625,0.138987,0.389727,1.0,2.565898,usable,normal,,0.699978,,False,530.644,530.644,530.644,training_mean,30.82571,530.644,single_band_training_mean,,0.199218,,,dark/white denominator is not positive enough for this filter (camera auto-exposure or missing per-filter dark frame)
850,0.216421,0.596867,0.362596,0.362596,1.0,1.0,1.0,usable,normal,,0.699978,,False,447.6,447.6,447.6,training_mean,15.444441,447.6,single_band_training_mean,,0.136183,,,dark/white denominator is not positive enough for this filter (camera auto-exposure or missing per-filter dark frame)
940,0.145353,0.667304,0.217821,1.027078,4.715249,0.212078,0.212078,weak_source_amplifies_noise,low_confidence_excluded,"940 nm is treated as low-confidence for spectrometer-derived calibration because the measured box-source curve is weak there: after dark subtraction, the 940 nm source signal is about 21% of the 850 nm signal, so curve compensation would multiply noise by about 4.7x. The Ocean Optics USB2000+XR1-ES nominal range includes 940 nm, but this setup gives a low-SNR 940 nm reference. The camera band remains available as a raw/white-normalized exploratory measurement, but it is excluded from spectrometer-equivalent calibration targets and water-index conclusions.",0.699978,,False,,,,excluded_low_confidence_spectrometer_target,,,excluded_low_confidence_spectrometer_target,,0.011381,,,dark/white denominator is not positive enough for this filter (camera auto-exposure or missing per-filter dark frame)
