relative_path,file,environment,sample_id,condition,role,filter_label,filter_nm,points,wavelength_min,wavelength_max,raw_min,raw_max,raw_mean,raw_peak_wavelength_nm,raw_peak_intensity,reflectance_status,raw_i_532,refl_532,raw_i_556,refl_556,raw_i_680,refl_680,raw_i_725,refl_725,raw_i_850,refl_850,raw_i_940,refl_940,raw_ratio_850_680,raw_ratio_725_680,refl_ratio_850_680,refl_ratio_725_680
in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532.txt,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,sample,532,532.0,2048,187.546,1034.421,-161.0,1225.32,322.052827,893.141,1225.32,ok,425.380981,0.200306,367.400941,-0.490955,333.771707,-0.028623,326.514431,0.73126,327.709275,-0.713321,368.245684,0.359844,0.981837,0.978257,24.921252,-25.547986
in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556.txt,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,sample,556,556.0,2048,187.546,1034.421,-161.79,1242.17,306.55644,893.141,1242.17,ok,391.833271,0.064548,459.816847,0.116222,276.697805,1.977585,294.028045,-1.728079,314.300207,-0.24017,302.406595,52.025119,1.135897,1.062632,-0.121446,-0.873833
in cutie\frunza sanatoasa dar galbena\spectru\680.txt,680.txt,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,sample,680,680.0,2048,187.546,1034.421,-127.45,1140.4,314.955234,893.141,1140.4,ok,330.888248,0.93118,279.894588,1.40315,350.171341,-0.194502,299.191658,1.541364,260.550777,5.466484,334.346971,1.56408,0.744067,0.854415,-28.105027,-7.924669
in cutie\frunza sanatoasa dar galbena\spectru\725.txt,725.txt,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,sample,725,725.0,2048,187.546,1034.421,-175.02,1158.36,314.780332,893.141,1158.36,ok,366.997804,0.499805,297.293882,1.587225,304.867561,1.221938,542.10495,0.412402,271.12,1.171008,314.233485,5.942856,0.889304,1.778165,0.95832,0.337498
in cutie\frunza sanatoasa dar galbena\spectru\850.txt,850.txt,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,sample,850,850.0,2048,187.546,1034.421,-164.63,1216.65,330.846812,893.141,1216.65,ok,330.722991,1.155327,357.735529,2.76479,267.689024,1.816761,296.234554,-30.765174,446.138679,0.739717,307.103861,0.01117,1.66663,1.106637,0.407163,-16.934079
in cutie\frunza sanatoasa dar galbena\spectru\940.txt,940.txt,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,sample,940,940.0,2048,187.546,1034.421,-143.04,1162.62,302.612007,893.141,1162.62,ok,307.939813,3.345321,254.949835,1.324447,322.038659,0.776648,296.244579,1.517834,273.653005,-1.285798,373.82311,-1.512751,0.849752,0.919904,-1.655574,1.95434
in cutie\frunza sanatoasa dar galbena\spectru\fara.txt,fara.txt,in cutie,in cutie/frunza sanatoasa dar galbena,healthy_yellow,sample,none,,2048,187.546,1034.421,-175.81,1263.44,397.110244,893.141,1263.44,ok,391.826355,0.028495,478.512753,0.134401,442.834268,0.048939,581.59854,0.355938,484.734896,0.595528,361.111582,0.738936,1.094619,1.313355,12.168782,7.273095
in cutie\Referinta alba\spectru\referinta alba fara filtru.txt,referinta alba fara filtru.txt,in cutie,in cutie/white_reference,white_reference,white_reference,none,,2048,187.546,1034.421,-155.02,1261.55,574.132739,893.141,1261.55,not_sample,757.233014,,792.276024,,1052.802683,,946.120965,,573.076943,,384.838177,,0.544335,0.898669,,
in cutie\Referinta alba\spectru\refirinta alba  556.txt,refirinta alba  556.txt,in cutie,in cutie/white_reference,white_reference,white_reference,556,556.0,2048,187.546,1034.421,-184.16,1171.91,336.002285,893.141,1171.91,not_sample,617.071542,,683.525529,,300.683293,,364.85245,,364.149611,,323.834531,,1.211074,1.213411,,
in cutie\Referinta alba\spectru\refirinta alba  680.txt,refirinta alba  680.txt,in cutie,in cutie/white_reference,white_reference,white_reference,680,680.0,2048,187.546,1034.421,-148.24,1122.13,333.10374,893.141,1122.13,not_sample,330.460724,,322.872094,,761.192439,,301.586436,,305.876036,,307.573405,,0.401838,0.396203,,
