sample_id,condition,matched_filter_count,pearson_r_camera_vs_spectrometer_shape,mean_absolute_shape_difference,missing_filters
in cutie\Set frunze 1\frunza nesanatoasa,unhealthy,6,0.605967,0.260592,
in cutie\Set frunze 1\frunza verde,healthy,6,0.472431,0.343366,
in cutie\Set frunze 2\nesanatoasa,unhealthy,6,0.184378,0.47127,
in cutie\Set frunze 2\sanatoasa,healthy,6,0.657492,0.215431,
in cutie\frunza sanatoasa dar galbena,healthy_yellow,6,0.295586,0.345004,
