relative_path,file,environment,sample_id,condition,filter_label,filter_nm,width,height,leaf_pixels,leaf_area_fraction,mean_r,mean_g,mean_b,brightness,saturation,hue_deg,gcc,exg,vari
in cutie\Set frunze 1\frunza verde\camera\680.jpg,680.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,680,680.0,1920,1080,1251833,0.6037,0.103167,0.039253,0.023356,0.10353,0.772834,10.392109,0.216956,-0.048018,-0.563788
in cutie\Set frunze 1\frunza verde\camera\725.jpg,725.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,725,725.0,1920,1080,271195,0.130785,0.60763,0.403299,0.31214,0.60763,0.493056,18.220913,0.303523,-0.113173,-0.29807
in cutie\Set frunze 1\frunza verde\camera\850.jpg,850.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,850,850.0,1920,1080,277548,0.133848,0.691704,0.694378,0.720963,0.721266,0.047329,237.961862,0.329496,-0.023912,0.004196
in cutie\Set frunze 1\frunza verde\camera\940.jpg,940.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,940,940.0,1920,1080,268557,0.129512,0.426023,0.430267,0.447873,0.450086,0.066836,234.738888,0.32987,-0.013361,0.011498
in cutie\Set frunze 1\frunza verde\camera\fara.jpg,fara.jpg,in cutie,in cutie/Set frunze 1/frunza verde,healthy,none,,1920,1080,268072,0.129279,0.491106,0.454699,0.485293,0.496949,0.097447,298.412441,0.316365,-0.067001,-0.08798
in cutie\Set frunze 2\nesanatoasa\camera\532.jpg,532.jpg,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,532,532.0,1920,1080,96657,0.046613,0.109906,0.269791,0.101887,0.269791,0.657364,117.12128,0.567908,0.327789,0.58897
in cutie\Set frunze 2\nesanatoasa\camera\556.jpg,556.jpg,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,556,556.0,1920,1080,94299,0.045476,0.07642,0.287774,0.074103,0.287774,0.786206,119.264277,0.670319,0.425024,0.744235
in cutie\Set frunze 2\nesanatoasa\camera\680.jpg,680.jpg,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,680,680.0,1920,1080,99592,0.048029,0.590049,0.244728,0.183218,0.590049,0.698483,8.854271,0.236517,-0.283809,-0.539124
in cutie\Set frunze 2\nesanatoasa\camera\725.jpg,725.jpg,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,725,725.0,1920,1080,102507,0.049434,0.565921,0.366721,0.313215,0.565921,0.455956,12.263519,0.292435,-0.145694,-0.329897
in cutie\Set frunze 2\nesanatoasa\camera\850.jpg,850.jpg,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,850,850.0,1920,1080,123969,0.059784,0.570022,0.573618,0.598726,0.599254,0.05841,236.525394,0.329057,-0.021511,0.007314
in cutie\Set frunze 2\nesanatoasa\camera\940.jpg,940.jpg,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,940,940.0,1920,1080,102519,0.04944,0.366724,0.365947,0.381713,0.385346,0.072966,248.993162,0.328275,-0.016543,-0.000787
in cutie\Set frunze 2\nesanatoasa\camera\fara.jpg,fara.jpg,in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,none,,1920,1080,125551,0.060547,0.503401,0.504825,0.498615,0.520963,0.078208,151.883434,0.33284,0.007633,-0.009148
in cutie\Set frunze 2\sanatoasa\camera\532.jpg,532.jpg,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,532,532.0,1920,1080,1046862,0.504852,0.192776,0.243248,0.18093,0.244299,0.268028,105.468276,0.394795,0.112789,0.20053
in cutie\Set frunze 2\sanatoasa\camera\556.jpg,556.jpg,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,556,556.0,1920,1080,1500742,0.723737,0.185074,0.225538,0.179655,0.228006,0.227363,105.616791,0.382352,0.086347,0.171721
in cutie\Set frunze 2\sanatoasa\camera\680.jpg,680.jpg,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,680,680.0,1920,1080,1335717,0.644154,0.078976,0.02497,0.012667,0.079275,0.852813,10.368439,0.175285,-0.041703,-0.655207
in cutie\Set frunze 2\sanatoasa\camera\725.jpg,725.jpg,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,725,725.0,1920,1080,330754,0.159507,0.35184,0.310625,0.367117,0.372564,0.166324,286.523392,0.301645,-0.097706,-0.139883
in cutie\Set frunze 2\sanatoasa\camera\850.jpg,850.jpg,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,850,850.0,1920,1080,243333,0.117348,0.724341,0.734411,0.801886,0.801896,0.102026,233.220187,0.324597,-0.057405,0.015996
in cutie\Set frunze 2\sanatoasa\camera\940.jpg,940.jpg,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,940,940.0,1920,1080,225220,0.108613,0.436692,0.444514,0.475314,0.475684,0.092943,231.715467,0.327476,-0.022978,0.021342
in cutie\Set frunze 2\sanatoasa\camera\fara.jpg,fara.jpg,in cutie,in cutie/Set frunze 2/sanatoasa,healthy,none,,1920,1080,237539,0.114554,0.559406,0.53098,0.562846,0.567799,0.077043,280.726802,0.319614,-0.060292,-0.063871
