environment,sample_id,condition,filter_label,relative_path,full_area,full_peak,spectral_centroid_nm,noise_index_residual_over_mean,roughness_index_mean_abs_diff
in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,680,in cutie\Set frunze 2\nesanatoasa\spectru\680.txt,101321.070037,278.267278,620.073537,0.124201,0.053594
in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,725,in cutie\Set frunze 2\nesanatoasa\spectru\725.txt,92803.268359,279.879824,621.484503,0.125474,0.053091
in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,940,in cutie\Set frunze 2\nesanatoasa\spectru\940.txt,83571.525265,196.394424,615.999139,0.131866,0.053339
in cutie,in cutie/Set frunze 2/nesanatoasa,unhealthy,none,in cutie\Set frunze 2\nesanatoasa\spectru\fara filtru.txt,88571.751339,281.161225,708.801218,0.089041,0.03949
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,532,in cutie\Set frunze 2\sanatoasa\spectru\532.txt,94189.64227,203.079844,609.585589,0.125722,0.053037
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,556,in cutie\Set frunze 2\sanatoasa\spectru\556.txt,90401.958464,199.592157,609.873719,0.122939,0.057148
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,680,in cutie\Set frunze 2\sanatoasa\spectru\680.txt,88554.997109,197.753649,611.97272,0.126554,0.055826
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,725,in cutie\Set frunze 2\sanatoasa\spectru\725.txt,91939.22153,258.647506,612.974972,0.127908,0.054749
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,850,in cutie\Set frunze 2\sanatoasa\spectru\850.txt,94123.415738,287.731445,623.008495,0.128115,0.049585
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,940,in cutie\Set frunze 2\sanatoasa\spectru\940.txt,90498.538574,228.111139,618.503471,0.121534,0.052341
in cutie,in cutie/Set frunze 2/sanatoasa,healthy,none,in cutie\Set frunze 2\sanatoasa\spectru\fara filtru.txt,122852.831835,357.970951,682.184099,0.106992,0.036024
